GeneID	16	17	23	24	27	28
FO538757.2	0.122225624	0.164814531	0.11788572	0.144315836	0.089781044	0.085668423
AP006222.2	0.068803778	0.066637555	0.071121685	0.07481167	0.043747214	0.073866238
RP11-206L10.9	0.004637635	0.032545368	0.018053172	0.012186485	0.028973742	0.023331544
LINC00115	0.009025727	0.008014658	0.008381389	0.020356798	0.006999215	0
FAM41C	0.044865491	0.036651502	0.02719915	0.05323633	0.017746722	0.04620753
NOC2L	0.199353336	0.217972804	0.219325438	0.200152404	0.219122677	0.189399338
HES4	0.011797787	0	0	0	0.014232926	0.002851725
ISG15	0.298687979	0.281454347	0.332720408	0.315277235	0.434193985	0.50391909
TNFRSF18	0.009117747	0.031862797	0.030693223	0.041166553	0.034617224	0.011405728
TNFRSF4	0.00753654	0.015282534	0.020057767	0.015018645	0.013497277	0.005523228
SDF4	0.212842678	0.209048786	0.024514739	0.038278441	0.216189246	0.272814796
UBE2J2	0.188953033	0.196612283	0.155564025	0.151270808	0.157115649	0.182806295
ACAP3	0.058392303	0.048019535	0.034970048	0.023894913	0.039032592	0.048279386
PUSL1	0.048957314	0.047065877	0.045756945	0.045046019	0.022735975	0.045043783
CPSF3L	0.1330595	0.135381013	0.135535122	0.10794453	0.10088236	0.188421398
CPTP	0.064851213	0.059258827	0.106224605	0.091231662	0.068990659	0.141988154
AURKAIP1	0.392117425	0.488936385	0.451603611	0.422878474	0.478795561	0.538682599
CCNL2	0.134957134	0.150869976	0.095386717	0.09676021	0.100039518	0.133417064
MRPL20	0.401627896	0.376082676	0.413490673	0.330717104	0.398566889	0.412413486
ATAD3B	0.034847628	0.033008246	0.019143244	0.012068702	0.014366031	0.018556063
ATAD3A	0.041944006	0.042499153	0.018432772	0.002509756	0.039384488	0.036212127
SSU72	0.525418677	0.309401344	0.258266591	0.239499239	0.471684713	0.472795197
RP5-832C2.5	0.018655616	0.006459963	0.004562114	0.002134313	0.021508164	0.003697175
